company_id,year,sales,net_profit,is_anomaly,iso_anomaly
BAJFINANCE,Mar 2024,54972,14451,True,False
BAJFINANCE,TTM,62279,15389,True,False
BHARTIARTL,Mar 2020,87539,-30664,True,False
BPCL,Mar 2023,473187,2131,True,False
BPCL,Mar 2024,448083,26859,True,False
BPCL,TTM,445601,13734,True,False
CANBK,Mar 2021,70253,2957,True,True
COALINDIA,Mar 2013,68303,17356,True,False
COALINDIA,Mar 2014,70608,15112,True,False
COALINDIA,Mar 2016,77861,14267,True,False
COALINDIA,Mar 2019,99586,17464,True,False
COALINDIA,Mar 2020,96080,16700,True,False
COALINDIA,Mar 2021,90026,12702,True,False
COALINDIA,Mar 2022,109715,17378,True,False
COALINDIA,Mar 2023,138252,31723,True,True
COALINDIA,Mar 2024,142324,37369,True,True
COALINDIA,TTM,140328,34350,True,True
HDFCBANK,Mar 2020,122189,27296,False,True
HDFCBANK,Mar 2021,128552,31857,False,True
HDFCBANK,Mar 2022,135936,38151,True,True
HDFCBANK,Mar 2023,170754,46149,True,True
HDFCBANK,Mar 2024,283649,65446,True,True
HDFCBANK,TTM,329022,72168,True,True
HINDALCO,Mar 2022,195059,13730,True,True
HINDALCO,Mar 2023,223202,10097,True,True
HINDALCO,Mar 2024,215962,10155,True,True
HINDALCO,TTM,224018,12488,True,True
ICICIBANK,Mar 2015,54964,12942,False,True
ICICIBANK,Mar 2016,59294,10927,True,True
ICICIBANK,Mar 2017,60940,11340,True,True
ICICIBANK,Mar 2018,62162,9100,True,True
ICICIBANK,Mar 2019,71982,5689,True,True
ICICIBANK,Mar 2020,84836,11225,True,True
ICICIBANK,Mar 2021,89163,20364,True,True
ICICIBANK,Mar 2022,95407,26538,True,True
ICICIBANK,Mar 2023,121067,35461,True,True
ICICIBANK,Mar 2024,159516,46081,True,True
ICICIBANK,TTM,180551,52416,True,True
IOC,Mar 2013,461780,3627,True,False
IOC,Mar 2014,488345,6967,True,False
IOC,Mar 2015,449507,4872,True,False
IOC,Mar 2018,421492,22626,True,False
IOC,Mar 2019,528158,17274,True,False
IOC,Mar 2020,483763,-1876,True,False
IOC,Mar 2022,589321,25727,True,True
IOC,Mar 2023,841756,11704,True,True
IOC,Mar 2024,776352,43161,True,True
IOC,TTM,761485,10909,True,True
KOTAKBANK,Mar 2024,56237,18213,False,True
KOTAKBANK,TTM,64053,22530,False,True
LICI,Mar 2019,571508,2627,True,False
LICI,Mar 2020,628043,2710,True,True
LICI,Mar 2021,690914,2974,True,True
LICI,Mar 2022,723606,4125,True,True
LICI,Mar 2023,784628,35997,True,True
LICI,Mar 2024,845966,40916,True,True
LICI,TTM,896106,41468,True,True
ONGC,Mar 2019,421624,33938,True,False
ONGC,Mar 2022,491246,49294,True,True
ONGC,Mar 2023,632291,32778,True,True
ONGC,Mar 2024,591396,57101,True,True
ONGC,TTM,658694,42320,True,True
PFC,Mar 2024,91508,26461,False,True
PFC,TTM,98152,28248,False,True
PNB,Mar 2024,109065,9157,True,False
PNB,TTM,116126,14535,True,False
RELIANCE,Mar 2014,433521,22548,True,False
RELIANCE,Mar 2018,390823,36080,True,False
RELIANCE,Mar 2019,568337,39837,True,True
RELIANCE,Mar 2020,596679,39880,True,True
RELIANCE,Mar 2021,466307,53739,True,True
RELIANCE,Mar 2022,694673,67845,True,True
RELIANCE,Mar 2023,876396,74088,True,True
RELIANCE,Mar 2024,899041,79020,True,True
RELIANCE,TTM,939838,79941,True,True
SBIN,Mar 2013,167976,18555,True,True
SBIN,Mar 2014,189062,14807,True,True
SBIN,Mar 2015,207974,17832,True,True
SBIN,Mar 2016,220633,13019,True,True
SBIN,Mar 2017,230447,-97,True,True
SBIN,Mar 2018,228970,-3749,True,True
SBIN,Mar 2019,253322,3351,True,True
SBIN,Mar 2020,269852,21140,True,True
SBIN,Mar 2021,278115,23888,True,True
SBIN,Mar 2022,289973,37183,True,True
SBIN,Mar 2023,350845,57750,True,True
SBIN,Mar 2024,439189,69543,True,True
SBIN,TTM,469625,74461,True,True
TATAMOTORS,Mar 2019,301938,-28724,True,False
TATAMOTORS,Mar 2024,437928,31807,True,False
TATAMOTORS,TTM,440061,33816,True,False
TATASTEEL,Mar 2022,243959,41749,True,False
TCS,Mar 2022,191754,38449,True,False
TCS,Mar 2023,225458,42303,True,False
TCS,Mar 2024,240893,46099,True,False
TCS,TTM,252082,49006,True,True
UNIONBANK,TTM,107058,16344,True,False
