company_id,company_name,cluster,cluster_label
ABB,Abbott India Ltd,0,"High Growth, Low Debt"
ADANIENSOL,Adani Energy Solutions Ltd,3,"Low Growth, High Leverage"
ADANIENT,Adani Enterprises Ltd,3,"Low Growth, High Leverage"
ADANIGREEN,Adani Green Energy Ltd,3,"Low Growth, High Leverage"
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,3,"Low Growth, High Leverage"
ADANIPOWER,Adani Power Ltd,3,"Low Growth, High Leverage"
AMBUJACEM,Ambuja Cements Ltd,0,"High Growth, Low Debt"
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",3,"Low Growth, High Leverage"
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",0,"High Growth, Low Debt"
AXISBANK,Axis Bank Ltd,2,"High Revenue, High Debt"
BAJAJ-AUTO,Bajaj Auto Ltd,0,"High Growth, Low Debt"
BAJAJFINSV,Bajaj Finserv Ltd,3,"Low Growth, High Leverage"
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,3,"Low Growth, High Leverage"
BAJFINANCE,Bajaj Finance Ltd,3,"Low Growth, High Leverage"
BANKBARODA,Bank of Baroda,2,"High Revenue, High Debt"
BEL,Bharat Electronics Ltd,0,"High Growth, Low Debt"
BHARTIARTL,Bharti Airtel Ltd,0,"High Growth, Low Debt"
BHEL,Bharat Heavy Electricals Limited,0,"High Growth, Low Debt"
BOSCHLTD,Bosch Ltd,0,"High Growth, Low Debt"
BPCL,Bharat Petroleum Corporation Ltd,0,"High Growth, Low Debt"
BRITANNIA,Britannia Industries Ltd,0,"High Growth, Low Debt"
CANBK,Canara Bank,2,"High Revenue, High Debt"
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,3,"Low Growth, High Leverage"
CIPLA,Cipla Ltd,3,"Low Growth, High Leverage"
COALINDIA,Coal India Ltd,0,"High Growth, Low Debt"
DABUR,Dabur India Ltd,0,"High Growth, Low Debt"
DIVISLAB,Divis Laboratories Ltd,0,"High Growth, Low Debt"
DLF,DLF Ltd,0,"High Growth, Low Debt"
DMART,Avenue Supermarts Ltd,3,"Low Growth, High Leverage"
DRREDDY,Dr Reddys Laboratories Ltd,3,"Low Growth, High Leverage"
EICHERMOT,Eicher Motors Ltd,3,"Low Growth, High Leverage"
GAIL,GAIL (India) Ltd,0,"High Growth, Low Debt"
GODREJCP,Godrej Consumer Products Ltd,3,"Low Growth, High Leverage"
GRASIM,Grasim Industries Ltd,3,"Low Growth, High Leverage"
HAL,Hindustan Aeronautics Ltd,0,"High Growth, Low Debt"
HAVELLS,Havells India Ltd,0,"High Growth, Low Debt"
HCLTECH,HCL Technologies Ltd,0,"High Growth, Low Debt"
HDFCBANK,HDFC Bank Ltd,2,"High Revenue, High Debt"
HDFCLIFE,HDFC Life Insurance Company Ltd,3,"Low Growth, High Leverage"
HEROMOTOCO,Hero MotoCorp Ltd,0,"High Growth, Low Debt"
HINDALCO,Hindalco Industries Ltd,3,"Low Growth, High Leverage"
HINDUNILVR,Hindustan Unilever Ltd,0,"High Growth, Low Debt"
ICICIBANK,ICICI Bank Ltd,4,Balanced Performers
ICICIGI,ICICI Lombard General Insurance Company Ltd,3,"Low Growth, High Leverage"
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,0,"High Growth, Low Debt"
INDIGO,Interglobe Aviation Ltd,0,"High Growth, Low Debt"
INDUSINDBK,IndusInd Bank Ltd,3,"Low Growth, High Leverage"
INFY,Infosys Ltd,0,"High Growth, Low Debt"
