company_id,company_name,health_score,health_label
ABB,Abbott India Ltd,44.6,WEAK
ADANIENSOL,Adani Energy Solutions Ltd,40.4,WEAK
ADANIENT,Adani Enterprises Ltd,43.1,WEAK
ADANIGREEN,Adani Green Energy Ltd,40.0,WEAK
ADANIPORTS,Adani Ports & Special Economic Zone Ltd,43.1,WEAK
ADANIPOWER,Adani Power Ltd,41.7,WEAK
AMBUJACEM,Ambuja Cements Ltd,45.6,WEAK
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",42.9,WEAK
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",45.8,WEAK
ATGL,Adani Total Gas Ltd,40.6,WEAK
AXISBANK,Axis Bank Ltd,33.6,POOR
BAJAJ-AUTO,Bajaj Auto Ltd,47.0,WEAK
BAJAJFINSV,Bajaj Finserv Ltd,38.1,WEAK
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,42.7,WEAK
BAJFINANCE,Bajaj Finance Ltd,39.4,WEAK
BANKBARODA,Bank of Baroda,28.0,POOR
BEL,Bharat Electronics Ltd,44.1,WEAK
BHARTIARTL,Bharti Airtel Ltd,51.4,AVERAGE
BHEL,Bharat Heavy Electricals Limited,44.0,WEAK
BOSCHLTD,Bosch Ltd,44.1,WEAK
BPCL,Bharat Petroleum Corporation Ltd,57.3,AVERAGE
BRITANNIA,Britannia Industries Ltd,45.9,WEAK
CANBK,Canara Bank,28.8,POOR
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,39.6,WEAK
CIPLA,Cipla Ltd,43.7,WEAK
COALINDIA,Coal India Ltd,64.4,AVERAGE
DABUR,Dabur India Ltd,44.5,WEAK
DIVISLAB,Divis Laboratories Ltd,43.4,WEAK
DLF,DLF Ltd,43.9,WEAK
DMART,Avenue Supermarts Ltd,41.1,WEAK
DRREDDY,Dr Reddys Laboratories Ltd,43.3,WEAK
EICHERMOT,Eicher Motors Ltd,43.0,WEAK
GAIL,GAIL (India) Ltd,48.2,WEAK
GODREJCP,Godrej Consumer Products Ltd,42.8,WEAK
