company_id,peer_rank,peer_id
ABB,1,TORNTPHARM
ABB,2,LTIM
ABB,3,DABUR
ABB,4,AMBUJACEM
ABB,5,IRCTC
ADANIENSOL,1,ADANIGREEN
ADANIENSOL,2,LODHA
ADANIENSOL,3,JIOFIN
ADANIENSOL,4,DMART
ADANIENSOL,5,NAUKRI
ADANIENT,1,PNB
ADANIENT,2,JINDALSTEL
ADANIENT,3,TATAPOWER
ADANIENT,4,ADANIPOWER
ADANIENT,5,DMART
ADANIGREEN,1,ADANIENSOL
ADANIGREEN,2,LODHA
ADANIGREEN,3,JIOFIN
ADANIGREEN,4,DMART
ADANIGREEN,5,NAUKRI
ADANIPORTS,1,JIOFIN
ADANIPORTS,2,ADANIENSOL
ADANIPORTS,3,LODHA
ADANIPORTS,4,ADANIGREEN
ADANIPORTS,5,ADANIPOWER
ADANIPOWER,1,TATAPOWER
ADANIPOWER,2,JINDALSTEL
ADANIPOWER,3,NAUKRI
ADANIPOWER,4,TATACONSUM
ADANIPOWER,5,ADANIENSOL
AMBUJACEM,1,ASIANPAINT
AMBUJACEM,2,LTIM
AMBUJACEM,3,TORNTPHARM
AMBUJACEM,4,ABB
AMBUJACEM,5,DABUR
APOLLOHOSP,1,TITAN
APOLLOHOSP,2,SIEMENS
APOLLOHOSP,3,DIVISLAB
APOLLOHOSP,4,TVSMOTOR
APOLLOHOSP,5,PIDILITIND
ASIANPAINT,1,AMBUJACEM
ASIANPAINT,2,TECHM
ASIANPAINT,3,BRITANNIA
ASIANPAINT,4,LTIM
ASIANPAINT,5,TORNTPHARM
AXISBANK,1,BANKBARODA
AXISBANK,2,HDFCBANK
AXISBANK,3,CANBK
AXISBANK,4,INDUSINDBK
AXISBANK,5,KOTAKBANK
BAJAJ-AUTO,1,TECHM
BAJAJ-AUTO,2,NESTLEIND
BAJAJ-AUTO,3,ASIANPAINT
BAJAJ-AUTO,4,NHPC
BAJAJ-AUTO,5,BRITANNIA
BAJAJFINSV,1,SHRIRAMFIN
BAJAJFINSV,2,IRFC
BAJAJFINSV,3,CHOLAFIN
BAJAJFINSV,4,RECLTD
BAJAJFINSV,5,PFC
BAJAJHLDNG,1,DRREDDY
BAJAJHLDNG,2,SHREECEM
BAJAJHLDNG,3,EICHERMOT
BAJAJHLDNG,4,TRENT
BAJAJHLDNG,5,ICICIGI
BAJFINANCE,1,CHOLAFIN
BAJFINANCE,2,IRFC
BAJFINANCE,3,BAJAJFINSV
BAJFINANCE,4,SHRIRAMFIN
BAJFINANCE,5,RECLTD
BANKBARODA,1,AXISBANK
BANKBARODA,2,CANBK
BANKBARODA,3,HDFCBANK
BANKBARODA,4,INDUSINDBK
BANKBARODA,5,KOTAKBANK
