company_id,slope,trend
ABB,444.79999999999933,FLAT
ADANIENSOL,2969.499999999999,UP
ADANIENT,15254.899999999992,UP
ADANIGREEN,1940.2999999999995,UP
ADANIPORTS,1691.3999999999985,UP
ADANIPOWER,7949.799999999997,UP
AMBUJACEM,2086.2999999999984,UP
APOLLOHOSP,2421.399999999999,UP
ASIANPAINT,3262.9999999999977,UP
ATGL,769.7,UP
AXISBANK,15661.799999999996,UP
BAJAJ-AUTO,5404.299999999998,UP
BAJAJFINSV,17331.799999999996,UP
BAJAJHLDNG,377.0,FLAT
BAJFINANCE,9454.300000000001,UP
BANKBARODA,14465.400000000003,UP
BEL,1983.1999999999978,UP
BHARTIARTL,14315.899999999987,UP
BHEL,1972.9999999999993,UP
BOSCHLTD,1980.899999999999,UP
BPCL,53215.19999999997,UP
BRITANNIA,1084.8999999999985,UP
CANBK,13818.29999999999,UP
CHOLAFIN,3485.2999999999993,UP
CIPLA,1965.2999999999988,UP
COALINDIA,13321.299999999997,UP
DABUR,728.4999999999985,UP
DIVISLAB,217.49999999999892,FLAT
DLF,388.39999999999924,FLAT
DMART,8595.299999999997,UP
DRREDDY,3082.799999999998,UP
EICHERMOT,2297.9999999999995,UP
GAIL,19787.599999999995,UP
GODREJCP,806.6000000000008,UP
GRASIM,15670.100000000002,UP
HAL,2230.4999999999973,UP
HAVELLS,2509.2,UP
HCLTECH,10411.99999999999,UP
HDFCBANK,54865.29999999999,UP
HDFCLIFE,9284.399999999994,UP
HEROMOTOCO,2651.5999999999985,UP
HINDALCO,20492.3,UP
HINDUNILVR,4071.5999999999963,UP
ICICIBANK,24688.499999999996,UP
ICICIGI,2674.0999999999995,UP
ICICIPRULI,1552.2999999999943,UP
INDIGO,16664.3,UP
INDUSINDBK,5493.4000000000015,UP
INFY,15106.099999999984,UP
IOC,98210.09999999995,UP
IRCTC,974.6999999999999,UP
IRFC,2860.7999999999993,UP
ITC,6197.699999999991,UP
JINDALSTEL,3006.799999999996,UP
JIOFIN,961.5,UP
JSWENERGY,1230.6999999999998,UP
JSWSTEEL,20950.499999999996,UP
KOTAKBANK,8496.199999999997,UP
LICI,53274.399999999965,UP
LODHA,1733.2999999999995,UP
LT,27039.59999999998,UP
LTIM,5892.5999999999985,UP
M&M,19213.699999999997,UP
MARUTI,20321.0,UP
MOTHERSON,13894.199999999993,UP
NAUKRI,401.49999999999994,FLAT
NESTLEIND,1758.6999999999987,UP
NHPC,57.19999999999978,FLAT
NTPC,19455.399999999987,UP
ONGC,80984.00000000003,UP
PFC,6823.800000000001,UP
PIDILITIND,1367.799999999999,UP
PNB,10120.49999999999,UP
POWERGRID,1656.499999999998,UP
RECLTD,4010.6999999999985,UP
RELIANCE,115143.0,UP
SBILIFE,14532.49999999999,UP
SBIN,53223.59999999998,UP
SHREECEM,1799.4999999999989,UP
SHRIRAMFIN,6201.699999999996,UP
SIEMENS,3094.399999999999,UP
SUNPHARMA,4346.299999999994,UP
TATACONSUM,1217.0999999999985,UP
TATAMOTORS,54000.59999999997,UP
TATAPOWER,8020.499999999996,UP
TATASTEEL,11464.799999999997,UP
TCS,22494.899999999972,UP
TECHM,3659.1999999999966,UP
TITAN,8791.300000000001,UP
TORNTPHARM,881.3999999999991,UP
TRENT,3274.1000000000004,UP
TVSMOTOR,6171.999999999997,UP
ULTRACEMCO,7149.099999999996,UP
UNIONBANK,10763.999999999989,UP
UNITDSPR,898.8999999999986,UP
VBL,3229.4,UP
VEDL,12384.899999999992,UP
WIPRO,6416.199999999995,UP
ZOMATO,3987.7999999999997,UP
ZYDUSLIFE,1859.6999999999987,UP
